FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,PCT001001,PCT001002,PCT001003,PCT001004,PCT001005,PCT001006,PCT001007,PCT001008,PCT001009,PCT001010,PCT001011,PCT001012,PCT001013,PCT001014,PCT001015,PCT001016,PCT001017,PCT001018,PCT001019,PCT001020,PCT001021,PCT001022,PCT001023,PCT001024,PCT001025,PCT001026,PCT001027,PCT001028,PCT001029,PCT001030,PCT001031,PCT001032,PCT001033,PCT001034,PCT001035,PCT001036,PCT001037,PCT001038,PCT001039,PCT001040,PCT001041,PCT001042,PCT001043,PCT001044,PCT001045,PCT001046,PCT001047,PCT002001,PCT002002,PCT002003,PCT002004,PCT002005,PCT002006,PCT002007,PCT002008,PCT002009,PCT002010,PCT002011,PCT002012,PCT002013,PCT002014,PCT002015,PCT002016,PCT002017,PCT002018,PCT002019,PCT002020,PCT002021,PCT002022,PCT002023,PCT002024,PCT002025,PCT002026,PCT002027,PCT002028,PCT002029,PCT002030,PCT002031,PCT002032,PCT002033,PCT002034,PCT002035,PCT002036,PCT002037,PCT002038,PCT002039,PCT002040,PCT002041,PCT002042,PCT002043,PCT002044,PCT002045,PCT002046,PCT002047,PCT003001,PCT003002,PCT003003,PCT003004,PCT003005,PCT003006,PCT003007,PCT003008,PCT003009,PCT003010,PCT003011,PCT003012,PCT003013,PCT003014,PCT003015,PCT003016,PCT003017,PCT003018,PCT003019,PCT003020,PCT003021,PCT003022,PCT003023,PCT003024,PCT003025,PCT003026,PCT003027,PCT003028,PCT003029,PCT003030,PCT003031,PCT003032,PCT003033,PCT003034,PCT003035,PCT003036,PCT003037,PCT003038,PCT003039,PCT003040,PCT003041,PCT003042,PCT003043,PCT003044,PCT003045,PCT003046,PCT003047,PCT004001,PCT004002,PCT004003,PCT004004,PCT004005,PCT004006,PCT004007,PCT004008,PCT004009,PCT005001,PCT005002,PCT005003,PCT005004,PCT005005,PCT005006,PCT005007,PCT005008,PCT005009,PCT005010,PCT005011,PCT005012,PCT005013,PCT005014,PCT005015,PCT005016,PCT005017,PCT005018,PCT005019,PCT006001,PCT006002,PCT006003,PCT006004,PCT006005,PCT006006,PCT006007,PCT006008,PCT006009,PCT006010,PCT006011,PCT006012,PCT006013,PCT006014,PCT006015,PCT006016,PCT006017,PCT006018,PCT006019,PCT007001,PCT007002,PCT007003,PCT007004,PCT007005,PCT007006,PCT007007,PCT007008,PCT007009,PCT007010,PCT007011,PCT007012,PCT007013,PCT007014,PCT007015,PCT007016,PCT007017,PCT007018,PCT007019,PCT008001,PCT008002,PCT008003,PCT008004,PCT008005,PCT008006,PCT008007,PCT008008,PCT008009,PCT008010,PCT008011,PCT008012,PCT008013,PCT008014,PCT009001,PCT009002,PCT009003,PCT009004,PCT009005,PCT009006,PCT009007,PCT009008,PCT009009,PCT009010,PCT009011,PCT009012,PCT009013,PCT009014
uSF1,TX,000,36,602162,8080,5147,222,56,1418,12,214,94,940,1,183,7,202,14,39,22,87,86,612,16,3,150,42,14,5,0,79,67,8,45,9,121,7,2,3,10,2,355,436,52,3,5,18,24,2,9,2436,8522,5588,252,77,1518,13,246,101,1009,1,226,9,234,16,41,27,93,98,622,16,3,155,47,16,6,0,81,67,8,60,11,130,7,2,3,11,2,380,436,53,3,5,19,24,2,9,2436,17083,11187,479,246,4173,39,452,148,1780,3,417,15,389,25,68,29,148,136,891,33,10,221,105,22,6,6,129,107,9,118,21,262,9,7,4,14,4,662,932,75,8,7,32,26,2,23,4866,16558,5802,61,1,5792,33,3,2436,2430,51729,9821,273,600,5380,3322,122,173,1253,3210,3594,98,1628,122,448,938,19396,165,1186,53484,10107,290,672,5754,3393,125,195,1331,3269,3697,117,1748,127,477,992,19713,180,1297,60894,10940,354,754,6383,4641,132,255,2220,3779,4039,148,2208,140,537,1232,20268,309,2555,2190,1644,324,269,977,74,310,253,57,6,6,0,230,0,2316,1754,336,290,1016,112,319,259,60,8,6,2,0,235
uSF1,TX,000,36,602163,2172,1373,82,24,406,6,64,21,255,0,38,0,44,2,9,2,32,28,96,6,0,43,10,1,0,0,21,11,1,15,0,33,0,0,2,3,0,118,133,16,1,3,5,7,0,2,648,2300,1500,96,29,436,6,72,22,271,0,50,1,55,3,10,2,32,31,101,6,0,44,13,1,0,0,21,11,1,22,0,35,0,0,2,4,0,123,133,17,1,3,6,7,0,2,648,4829,3139,169,87,1219,11,101,42,483,1,93,3,108,6,19,2,50,35,173,12,3,76,31,5,0,0,36,23,1,35,6,74,1,1,2,5,0,226,293,24,4,3,8,9,0,3,1370,4670,1569,18,1,1704,8,0,648,722,22016,3477,148,105,2922,1229,37,106,365,1050,119,44,646,40,329,292,10620,66,421,22663,3572,160,115,3070,1252,40,113,390,1076,127,56,677,41,347,298,10783,67,479,25152,3829,209,124,3256,1673,44,144,633,1244,147,76,882,46,380,344,11025,91,1005,502,312,101,134,71,6,108,85,23,1,1,0,81,0,510,314,102,135,71,6,112,86,26,3,1,2,0,81
uSF1,TX,000,36,607260,3794,2186,77,18,525,5,64,55,350,0,85,1,69,11,12,14,27,45,443,4,2,63,12,9,1,0,35,31,2,19,7,67,6,2,1,2,1,121,179,11,1,0,8,1,1,6,1412,3947,2339,83,28,557,5,73,61,368,0,107,2,74,11,12,19,33,51,448,4,2,64,12,11,1,0,35,31,2,23,9,70,6,2,1,2,1,131,179,11,1,0,8,1,1,6,1412,7497,4605,195,109,1612,19,146,80,680,0,203,4,114,13,22,20,49,68,587,7,2,81,25,12,1,3,55,51,2,64,11,119,7,6,1,4,3,230,379,20,3,0,15,1,1,19,2474,7285,2441,17,0,2331,19,3,1412,1062,14183,2532,45,402,1116,1121,44,27,485,1195,1394,33,219,31,24,282,4849,53,331,14630,2605,48,429,1210,1134,44,38,502,1209,1429,35,241,34,29,304,4925,57,357,17170,2892,57,491,1381,1579,46,49,862,1413,1560,38,311,35,38,414,5092,120,792,381,199,100,39,56,4,129,124,5,2,2,0,51,0,403,214,108,40,60,6,134,129,5,2,2,0,0,53
uSF1,TX,000,36,621345,2114,1588,63,14,487,1,86,18,335,1,60,6,89,1,18,6,28,13,73,6,1,44,20,4,4,0,23,25,5,11,2,21,1,0,0,5,1,116,124,25,1,2,5,16,1,1,376,2275,1749,73,20,525,2,101,18,370,1,69,6,105,2,19,6,28,16,73,6,1,47,22,4,5,0,25,25,5,15,2,25,1,0,0,5,1,126,124,25,1,2,5,16,1,1,376,4757,3443,115,50,1342,9,205,26,617,2,121,8,167,6,27,7,49,33,131,14,5,64,49,5,5,3,38,33,6,19,4,69,1,0,1,5,1,206,260,31,1,4,9,16,1,1,1022,4603,1792,26,0,1757,6,0,376,646,15530,3812,80,93,1342,972,41,40,403,965,2081,21,763,51,95,364,3927,46,434,16191,3930,82,128,1474,1007,41,44,439,984,2141,26,830,52,101,390,4005,56,461,18572,4219,88,139,1746,1389,42,62,725,1122,2332,34,1015,59,119,474,4151,98,758,1307,1133,123,96,850,64,73,44,29,3,3,0,98,0,1403,1226,126,115,885,100,73,44,29,3,3,0,0,101
uSF1,TX,000,36,627593,31,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,15,31,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,15,63,26,0,1,12,0,2,1,2,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,30,63,16,0,0,17,0,0,15,15,553,10,0,0,2,4,21,0,4,1,177,0,0,0,0,4,326,0,4,581,18,0,1,5,4,21,0,4,1,186,0,0,0,0,4,331,0,6,631,22,0,1,6,4,21,0,4,2,215,0,0,0,0,7,337,0,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
uSF1,TX,000,36,627600,35,14,0,0,5,0,0,0,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,37,16,0,0,5,0,1,0,3,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,65,36,0,0,8,1,2,0,6,0,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,64,15,0,0,20,0,0,21,8,105,2,0,0,1,2,0,0,0,3,64,0,0,0,0,0,33,0,0,105,2,0,0,1,2,0,0,0,3,64,0,0,0,0,0,33,0,0,121,5,0,0,2,5,0,0,2,3,69,0,1,0,0,0,34,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627607,43,15,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,26,43,15,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,26,49,19,0,3,2,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,27,49,17,0,0,5,0,0,26,1,16,3,0,0,0,1,0,0,0,0,7,0,0,0,0,0,5,0,0,16,3,0,0,0,1,0,0,0,0,7,0,0,0,0,0,5,0,0,22,3,0,0,0,6,0,0,0,0,7,0,0,0,0,0,5,0,1,7,0,0,0,0,0,7,7,0,0,0,0,0,0,7,0,0,0,0,0,7,7,0,0,0,0,0,0
uSF1,TX,000,36,627612,41,18,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,43,20,1,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,71,35,2,0,4,0,0,0,15,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,31,69,19,0,0,19,0,0,23,8,10,7,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,10,7,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,18,8,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
uSF1,TX,000,36,627618,57,15,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,37,57,15,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,37,72,23,4,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,44,72,20,0,0,8,0,0,37,7,10,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,14,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627624,56,19,0,1,1,0,0,0,1,0,3,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,34,56,19,0,1,1,0,0,0,1,0,3,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,34,84,38,0,1,7,0,0,0,1,0,9,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,5,0,0,0,0,0,0,0,41,81,22,0,0,18,0,0,34,7,11,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,24,10,0,0,1,5,0,0,2,0,2,0,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627631,88,33,1,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,88,33,1,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,108,46,1,0,13,0,0,0,0,0,4,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,108,33,0,0,13,0,0,55,7,29,20,0,0,3,1,0,0,1,1,0,0,0,0,0,0,3,0,0,29,20,0,0,3,1,0,0,1,1,0,0,0,0,0,0,3,0,0,34,20,0,0,5,2,0,0,1,1,0,0,0,0,0,0,3,1,1,5,4,4,0,0,0,0,0,0,0,0,0,1,0,7,5,5,0,0,0,0,0,0,0,0,0,0,2
uSF1,TX,000,36,627638,55,29,0,1,5,0,0,0,2,0,1,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,62,36,0,1,5,0,0,3,2,0,4,0,2,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,91,53,6,1,14,0,0,3,3,0,4,0,2,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,86,32,0,0,16,0,0,26,12,16,3,0,0,1,4,0,0,0,1,0,0,0,0,0,2,5,0,0,20,5,0,0,1,4,0,0,0,1,0,0,2,0,0,2,5,0,0,33,6,0,0,1,6,0,0,6,1,0,0,2,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627646,22,21,0,0,3,0,0,0,3,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,21,0,0,3,0,0,0,3,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,39,0,0,12,0,0,0,7,0,1,1,4,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,44,21,0,0,18,0,0,1,4,8,0,0,0,2,2,0,1,2,0,0,0,0,0,0,0,1,0,0,8,0,0,0,2,2,0,1,2,0,0,0,0,0,0,0,1,0,0,8,0,0,0,2,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627650,60,13,0,0,3,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,60,13,0,0,3,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,72,21,0,0,8,0,0,3,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,49,72,13,0,0,10,0,0,47,2,37,12,0,0,0,4,0,0,2,7,2,0,1,0,0,1,6,0,2,37,12,0,0,0,4,0,0,2,7,2,0,1,0,0,1,6,0,2,50,13,0,0,2,7,0,0,6,10,2,0,1,0,0,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627654,16,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,6,22,13,0,0,0,0,3,0,3,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,6,66,45,5,0,13,0,3,0,5,0,1,0,0,2,0,0,0,0,7,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,12,0,0,0,0,0,0,0,9,60,13,0,0,38,0,0,6,3,35,4,0,3,0,13,0,0,2,2,0,0,0,0,0,0,11,0,0,37,5,0,3,0,13,0,0,2,2,0,0,0,0,0,1,11,0,0,53,9,0,3,1,16,0,0,2,2,0,0,0,0,0,1,12,0,7,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0
uSF1,TX,000,36,627660,45,22,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,22,57,34,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,14,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,22,65,35,0,0,1,0,0,0,0,0,3,0,0,0,0,5,0,0,14,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,29,59,29,0,0,1,0,0,22,7,20,9,0,0,1,0,0,0,0,2,0,0,0,0,0,0,5,0,3,20,9,0,0,1,0,0,0,0,2,0,0,0,0,0,0,5,0,3,33,11,0,0,5,1,0,0,3,2,0,0,0,0,0,0,5,0,6,10,0,0,0,0,0,4,4,0,0,0,0,6,0,10,0,0,0,0,0,4,4,0,0,0,0,0,6
uSF1,TX,000,36,627667,11,7,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,7,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,7,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,7,0,0,0,0,0,4,0,23,2,0,0,0,1,0,0,0,0,10,0,0,0,0,0,10,0,0,23,2,0,0,0,1,0,0,0,0,10,0,0,0,0,0,10,0,0,25,2,0,0,0,1,0,0,0,0,10,0,0,0,0,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627671,22,12,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9,22,12,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9,31,18,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,12,31,13,0,0,6,0,0,9,3,39,4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,28,0,4,39,4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,28,0,4,46,4,0,1,6,0,0,0,1,1,0,0,0,0,0,0,28,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627674,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627677,13,7,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,7,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,26,13,5,0,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,26,7,0,0,10,0,0,6,3,46,0,0,0,5,0,2,0,1,0,11,0,0,0,0,2,16,0,9,46,0,0,0,5,0,2,0,1,0,11,0,0,0,0,2,16,0,9,48,0,0,0,5,0,2,0,2,0,12,0,0,0,0,2,16,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627680,47,24,3,0,3,0,1,2,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,21,47,24,3,0,3,0,1,2,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,21,68,30,3,0,6,0,2,2,1,0,0,0,1,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,3,0,0,0,0,0,0,0,35,68,26,0,0,7,0,0,21,14,119,2,0,0,3,1,0,0,0,4,19,0,2,0,0,0,88,0,0,127,5,0,0,3,1,0,0,0,5,19,0,2,0,0,0,92,0,0,149,7,0,1,3,2,0,0,1,5,24,0,2,0,0,0,94,0,10,3,1,0,0,1,0,2,2,0,0,0,0,0,0,3,1,0,0,1,0,2,2,0,0,0,0,0,0
uSF1,TX,000,36,627687,24,15,1,0,6,0,2,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,1,0,0,6,26,17,1,0,7,0,2,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,1,0,0,0,1,0,0,6,60,35,2,1,13,0,2,2,4,0,0,0,2,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,4,1,0,0,0,1,0,0,20,58,18,1,0,19,0,0,6,14,59,10,0,0,0,3,0,0,0,0,4,0,0,0,0,1,41,0,0,61,10,0,0,0,3,0,0,0,0,4,0,0,0,0,1,42,0,1,66,10,0,0,0,6,0,0,2,0,4,0,0,0,0,1,42,0,1,5,5,0,0,5,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627692,15,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,4,15,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,4,37,18,0,0,9,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,10,37,11,0,0,16,0,0,4,6,76,3,0,0,4,6,0,0,1,3,0,0,0,0,0,0,59,0,0,76,3,0,0,4,6,0,0,1,3,0,0,0,0,0,0,59,0,0,77,3,0,0,4,7,0,0,1,3,0,0,0,0,0,0,59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
uSF1,TX,000,36,627697,18,6,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,9,20,8,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,9,48,28,0,2,13,0,1,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,5,0,0,0,0,0,0,0,15,46,10,0,0,21,0,0,9,6,77,6,0,0,5,1,0,1,3,1,1,0,0,0,0,0,59,0,0,79,7,0,0,5,1,0,1,3,1,1,0,1,0,0,0,59,0,0,97,7,0,0,5,1,0,1,5,1,1,0,1,0,0,1,70,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627703,34,22,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,36,24,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,56,35,1,1,10,0,0,0,2,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,19,54,23,0,0,12,0,0,12,7,50,4,0,0,0,11,0,0,0,0,2,0,0,0,0,0,32,0,1,64,6,2,5,0,11,0,0,0,0,2,0,0,0,0,0,37,0,1,73,6,2,5,0,15,0,0,0,0,6,0,0,0,0,0,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
