FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,PCT013A001,PCT013A002,PCT013A003,PCT013A004,PCT013A005,PCT013A006,PCT013A007,PCT013A008,PCT013A009,PCT013A010,PCT013A011,PCT013A012,PCT013A013,PCT013A014,PCT013A015,PCT013A016,PCT013A017,PCT013A018,PCT013A019,PCT013A020,PCT013A021,PCT013A022,PCT013A023,PCT013A024,PCT013A025,PCT013A026,PCT013A027,PCT013A028,PCT013A029,PCT013A030,PCT013A031,PCT013A032,PCT013A033,PCT013A034,PCT013A035,PCT013A036,PCT013A037,PCT013A038,PCT013A039,PCT013A040,PCT013A041,PCT013A042,PCT013A043,PCT013A044,PCT013A045,PCT013A046,PCT013A047,PCT013A048,PCT013A049,PCT013B001,PCT013B002,PCT013B003,PCT013B004,PCT013B005,PCT013B006,PCT013B007,PCT013B008,PCT013B009,PCT013B010,PCT013B011,PCT013B012,PCT013B013,PCT013B014,PCT013B015,PCT013B016,PCT013B017,PCT013B018,PCT013B019,PCT013B020,PCT013B021,PCT013B022,PCT013B023,PCT013B024,PCT013B025,PCT013B026,PCT013B027,PCT013B028,PCT013B029,PCT013B030,PCT013B031,PCT013B032,PCT013B033,PCT013B034,PCT013B035,PCT013B036,PCT013B037,PCT013B038,PCT013B039,PCT013B040,PCT013B041,PCT013B042,PCT013B043,PCT013B044,PCT013B045,PCT013B046,PCT013B047,PCT013B048,PCT013B049,PCT013C001,PCT013C002,PCT013C003,PCT013C004,PCT013C005,PCT013C006,PCT013C007,PCT013C008,PCT013C009,PCT013C010,PCT013C011,PCT013C012,PCT013C013,PCT013C014,PCT013C015,PCT013C016,PCT013C017,PCT013C018,PCT013C019,PCT013C020,PCT013C021,PCT013C022,PCT013C023,PCT013C024,PCT013C025,PCT013C026,PCT013C027,PCT013C028,PCT013C029,PCT013C030,PCT013C031,PCT013C032,PCT013C033,PCT013C034,PCT013C035,PCT013C036,PCT013C037,PCT013C038,PCT013C039,PCT013C040,PCT013C041,PCT013C042,PCT013C043,PCT013C044,PCT013C045,PCT013C046,PCT013C047,PCT013C048,PCT013C049,PCT013D001,PCT013D002,PCT013D003,PCT013D004,PCT013D005,PCT013D006,PCT013D007,PCT013D008,PCT013D009,PCT013D010,PCT013D011,PCT013D012,PCT013D013,PCT013D014,PCT013D015,PCT013D016,PCT013D017,PCT013D018,PCT013D019,PCT013D020,PCT013D021,PCT013D022,PCT013D023,PCT013D024,PCT013D025,PCT013D026,PCT013D027,PCT013D028,PCT013D029,PCT013D030,PCT013D031,PCT013D032,PCT013D033,PCT013D034,PCT013D035,PCT013D036,PCT013D037,PCT013D038,PCT013D039,PCT013D040,PCT013D041,PCT013D042,PCT013D043,PCT013D044,PCT013D045,PCT013D046,PCT013D047,PCT013D048,PCT013D049,PCT013E001,PCT013E002,PCT013E003,PCT013E004,PCT013E005,PCT013E006,PCT013E007,PCT013E008,PCT013E009,PCT013E010,PCT013E011,PCT013E012,PCT013E013,PCT013E014,PCT013E015,PCT013E016,PCT013E017,PCT013E018,PCT013E019,PCT013E020,PCT013E021,PCT013E022,PCT013E023,PCT013E024,PCT013E025,PCT013E026,PCT013E027,PCT013E028,PCT013E029,PCT013E030,PCT013E031,PCT013E032,PCT013E033,PCT013E034,PCT013E035,PCT013E036,PCT013E037,PCT013E038,PCT013E039,PCT013E040,PCT013E041,PCT013E042,PCT013E043,PCT013E044,PCT013E045,PCT013E046,PCT013E047,PCT013E048,PCT013E049
uSF1,TX,000,36,602162,1013390,500845,36984,37995,37968,21740,12744,6213,6124,19311,38192,40320,45628,44932,37686,33440,24290,7513,9683,5744,7886,10892,8355,4762,2443,512545,35380,36498,35809,20471,12287,5962,5965,20067,37939,39394,45157,44204,38981,34193,25026,7777,10630,6546,9304,14439,12722,7681,6113,180347,84204,8341,8873,8916,4905,2593,1209,1189,3319,6402,6904,7515,6676,5254,3800,2579,772,1073,680,817,1104,692,349,242,96143,7961,8611,8677,4835,2857,1438,1401,4229,8067,8579,8809,7940,6301,4560,3206,987,1406,899,1208,1688,1151,714,619,8157,4101,314,339,341,205,133,74,83,203,361,350,400,354,276,240,169,47,61,25,41,36,23,15,11,4056,303,311,331,195,134,60,76,184,351,339,388,400,278,235,159,45,73,32,40,53,39,19,11,52187,26105,2044,2041,1972,1300,764,383,404,1462,2910,2644,2385,2141,1802,1428,940,264,346,192,231,249,121,52,30,26082,1991,1956,1891,1126,737,372,348,1344,2884,2629,2338,2203,1944,1577,948,279,372,173,298,340,193,78,61,2249,1139,115,154,127,68,45,18,22,51,77,88,104,78,62,54,29,8,12,1,10,13,2,0,1,1110,126,119,130,67,43,23,24,40,94,108,84,78,62,49,24,5,9,6,5,5,6,2,1
uSF1,TX,000,36,602163,277548,138618,10263,10552,10182,5940,3671,1754,1804,5741,11619,12096,12976,12267,10122,9317,6599,2081,2502,1489,1881,2565,1886,889,422,138930,9767,9935,9847,5437,3515,1732,1735,5872,11447,11528,12629,11827,10680,9405,6840,1976,2666,1632,2221,3152,2562,1386,1139,53142,25482,2707,2904,2675,1330,752,376,393,1211,2254,2592,2655,2205,1487,861,483,122,136,66,95,88,58,17,15,27660,2479,2753,2681,1314,822,443,447,1443,2843,3088,3019,2494,1491,950,502,133,161,106,121,160,105,55,50,2217,1101,81,79,81,45,34,19,26,61,113,99,110,111,72,57,45,10,19,5,11,7,10,3,3,1116,93,84,84,50,40,20,16,47,110,88,111,126,83,64,43,9,12,6,11,9,7,1,2,22178,11264,894,843,799,540,328,188,205,771,1341,1136,1012,840,787,560,386,121,154,73,94,103,49,27,13,10914,826,813,807,472,346,183,162,612,1280,1102,968,874,765,590,391,113,152,66,118,130,81,38,25,504,247,21,34,17,13,11,5,8,18,21,21,32,14,14,5,3,2,2,0,1,4,0,0,1,257,31,21,25,9,9,5,9,13,32,29,19,14,14,9,11,2,0,2,1,1,1,0,0
uSF1,TX,000,36,607260,393213,193383,14324,13783,13681,7858,4914,2644,2655,8366,15579,15229,16250,15999,13784,11986,9204,2945,4066,2537,3633,5309,4413,2786,1438,199830,13641,13266,12586,7389,4726,2594,2612,8764,15015,14361,15488,15515,13811,12541,9851,3287,4696,2941,4397,7441,6861,4475,3572,114211,52139,5040,5341,5552,3213,1676,746,738,1832,3584,3652,4174,3773,3311,2613,1947,602,889,591,701,992,623,326,223,62072,4909,5206,5377,3188,1892,904,893,2576,4662,4798,5065,4802,4334,3334,2559,816,1204,774,1057,1502,1021,638,561,3765,1908,145,163,161,108,67,42,39,93,170,156,179,151,134,99,70,20,32,13,21,19,10,10,6,1857,151,140,163,91,58,28,40,92,144,162,181,147,119,92,68,24,40,17,22,32,26,16,4,14157,6933,532,519,491,323,224,97,96,354,860,741,597,534,434,399,278,73,105,64,81,74,35,12,10,7224,525,486,496,283,198,91,105,420,818,708,567,570,535,520,305,94,130,54,102,116,63,22,16,391,203,22,25,11,14,9,4,8,13,18,16,14,12,8,12,5,2,1,0,4,3,2,0,0,188,17,17,18,10,8,2,7,9,14,19,15,14,9,11,5,1,3,1,3,1,1,2,1
uSF1,TX,000,36,621345,342629,168844,12397,13660,14105,7942,4159,1815,1665,5204,10994,12995,16402,16666,13780,12137,8487,2487,3115,1718,2372,3018,2056,1087,583,173785,11972,13297,13376,7645,4046,1636,1618,5431,11477,13505,17040,16862,14490,12247,8335,2514,3268,1973,2686,3846,3299,1820,1402,12994,6583,594,628,689,362,165,87,58,276,564,660,686,698,456,326,149,48,48,23,21,24,11,6,4,6411,573,652,619,333,143,91,61,210,562,693,725,644,476,276,145,38,41,19,30,26,25,21,8,2175,1092,88,97,99,52,32,13,18,49,78,95,111,92,70,84,54,17,10,7,9,10,3,2,2,1083,59,87,84,54,36,12,20,45,97,89,96,127,76,79,48,12,21,9,7,12,6,2,5,15852,7908,618,679,682,437,212,98,103,337,709,767,776,767,581,469,276,70,87,55,56,72,37,13,7,7944,640,657,588,371,193,98,81,312,786,819,803,759,644,467,252,72,90,53,78,94,49,18,20,1354,689,72,95,99,41,25,9,6,20,38,51,58,52,40,37,21,4,9,1,5,6,0,0,0,665,78,81,87,48,26,16,8,18,48,60,50,50,39,29,8,2,6,3,1,3,4,0,0
uSF1,TX,000,36,627593,3325,1630,137,130,102,65,38,27,28,64,126,129,129,115,120,87,74,23,26,14,28,47,48,55,18,1695,121,118,105,59,38,16,16,78,121,100,109,109,99,117,67,21,38,19,37,69,97,81,60,136,62,6,2,9,2,5,2,3,2,5,2,6,2,3,4,1,0,2,0,1,1,2,1,1,74,5,4,9,5,3,0,2,3,1,6,8,3,8,3,1,1,0,0,1,3,3,2,3,31,16,2,2,1,0,0,0,0,0,1,2,1,3,2,1,0,0,0,1,0,0,0,0,0,15,1,3,1,0,0,1,0,3,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,567,303,24,30,19,13,16,5,6,10,35,21,20,29,29,18,13,2,7,0,3,2,1,0,0,264,21,22,28,14,11,0,5,18,21,22,17,20,26,13,12,2,3,0,3,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627600,3148,1567,116,112,91,61,38,18,18,61,120,139,132,149,103,112,75,23,38,18,24,37,33,32,17,1581,109,112,92,40,37,16,17,62,123,121,112,91,113,111,76,25,45,20,37,36,71,54,61,102,54,10,1,5,5,1,1,2,1,5,2,6,3,6,2,3,0,0,0,1,0,0,0,0,48,4,8,5,2,2,2,0,2,3,2,4,6,5,1,1,1,0,0,0,0,0,0,0,36,18,0,2,1,0,1,0,1,0,3,3,1,3,1,0,1,0,1,0,0,0,0,0,0,18,1,1,2,1,2,0,0,1,0,0,3,2,2,1,0,0,0,0,0,0,2,0,0,105,53,1,5,10,1,1,1,0,2,4,5,6,7,3,1,1,0,3,0,0,1,1,0,0,52,2,5,3,3,1,1,2,3,5,4,7,4,7,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627607,2433,1298,135,122,103,60,64,35,21,83,131,105,104,76,70,50,30,11,18,13,12,21,16,14,4,1135,108,105,79,65,37,22,25,38,97,88,94,56,58,45,48,19,19,12,18,29,26,24,23,31,14,3,0,0,1,0,0,0,1,1,2,2,0,2,2,0,0,0,0,0,0,0,0,0,17,5,0,3,0,0,0,1,1,0,0,1,1,3,0,1,0,1,0,0,0,0,0,0,43,32,2,1,2,7,4,5,1,1,1,0,3,2,0,1,0,0,1,0,0,0,0,1,0,11,0,1,1,1,1,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,16,8,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,8,1,1,0,1,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,7,4,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627612,2943,1560,152,129,156,70,76,26,24,81,129,121,138,95,89,71,55,25,22,16,21,27,15,15,7,1383,150,133,118,61,41,26,26,57,110,102,83,92,67,51,57,15,37,21,20,31,43,20,22,30,16,4,2,2,0,2,0,0,0,1,0,1,2,1,0,0,0,0,0,0,1,0,0,0,14,0,7,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,1,0,0,0,42,21,0,2,2,2,2,0,0,0,1,0,2,2,4,0,1,0,0,0,1,1,1,0,0,21,2,2,2,1,1,0,0,1,0,2,3,1,3,1,0,0,0,0,1,1,0,0,0,10,5,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627618,1970,1037,113,96,106,73,29,26,19,60,77,95,67,69,58,36,30,14,15,9,11,14,13,5,2,933,100,90,85,49,42,13,5,56,72,72,66,57,42,39,33,15,16,8,14,21,26,6,6,780,352,11,13,31,14,12,7,5,7,12,18,31,29,29,19,21,6,13,8,6,26,16,7,11,428,16,23,28,15,12,8,7,8,14,15,18,32,27,20,27,10,13,16,20,36,32,11,20,57,30,5,5,4,3,0,0,1,3,2,3,1,1,0,1,0,0,0,0,0,1,0,0,0,27,3,3,4,1,1,0,0,1,1,3,2,1,2,2,0,1,0,1,0,0,1,0,0,9,4,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627624,3529,1819,159,184,155,93,76,37,30,109,160,146,150,125,101,72,60,24,25,11,23,33,21,13,12,1710,179,165,156,87,53,27,33,70,150,124,115,107,90,73,50,23,33,17,19,34,47,31,27,89,40,4,2,2,0,1,0,0,4,3,4,3,8,2,2,1,1,1,0,0,1,1,0,0,49,5,4,8,3,1,2,1,0,1,5,6,2,1,3,2,1,3,0,0,0,0,1,0,56,28,0,4,2,1,0,1,0,2,4,2,4,2,1,1,1,2,0,1,0,0,0,0,0,28,2,2,0,8,1,0,1,0,1,0,3,1,1,1,2,0,2,1,0,0,2,0,0,11,7,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627631,3273,1613,167,181,156,81,77,22,24,113,142,139,123,85,78,66,47,16,12,9,21,16,13,19,6,1660,174,169,156,81,48,23,32,87,141,131,124,102,80,79,52,17,19,17,26,37,28,21,16,718,296,33,28,43,20,4,4,6,13,16,16,20,18,19,15,7,4,1,7,6,6,4,2,4,422,32,39,38,23,20,5,5,11,19,27,27,27,20,30,21,7,8,7,14,12,14,9,7,88,44,5,1,6,2,5,1,1,2,5,3,0,1,4,4,0,1,0,2,1,0,0,0,0,44,4,6,5,1,0,0,0,3,3,4,1,4,3,5,3,0,0,0,0,0,2,0,0,29,19,1,0,1,1,0,0,1,5,3,1,2,2,1,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,2,0,0,2,1,1,0,0,0,1,1,0,0,0,6,4,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627638,3858,1919,172,162,182,101,68,25,30,76,147,133,142,143,109,88,63,29,39,26,41,52,44,35,12,1939,183,177,145,86,50,28,25,85,124,127,138,137,100,101,78,34,37,29,42,71,69,48,25,76,38,6,9,6,5,2,0,1,0,2,0,1,1,1,2,2,0,0,0,0,0,0,0,0,38,7,5,1,1,0,2,1,2,3,2,2,4,2,3,2,0,0,0,0,1,0,0,0,58,31,2,3,3,1,1,0,1,0,1,2,6,2,2,2,3,0,1,0,0,1,0,0,0,27,5,2,2,3,2,1,0,3,0,0,3,1,1,2,0,1,0,0,0,1,0,0,0,18,9,1,1,1,0,0,0,0,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627646,1594,818,50,45,51,26,9,6,10,23,46,48,71,83,80,77,68,17,20,14,16,29,17,8,4,776,45,40,40,25,13,9,5,21,42,47,60,79,81,66,50,15,23,19,24,23,16,26,7,7,4,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,22,11,0,1,0,1,0,0,0,0,1,0,2,1,3,0,1,0,0,0,0,0,0,0,1,11,1,0,2,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,1,0,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627650,1480,752,48,45,68,27,20,6,8,21,43,48,73,62,58,58,42,15,18,22,12,31,16,7,4,728,42,46,43,28,14,4,8,24,36,53,58,55,63,48,46,22,34,9,19,32,20,17,7,47,23,5,2,2,2,0,0,0,0,2,2,4,3,0,1,0,0,0,0,0,0,0,0,0,24,1,6,1,0,0,0,0,2,2,3,4,1,2,0,1,1,0,0,0,0,0,0,0,17,9,1,2,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,8,1,2,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,13,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627654,3478,1720,128,128,138,81,39,17,25,57,127,109,115,172,125,93,80,28,42,36,41,48,41,30,20,1758,111,112,115,70,50,25,19,59,113,107,128,153,114,111,90,39,42,26,40,71,73,50,40,26,11,2,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,2,0,0,0,0,0,15,2,0,1,0,1,0,0,0,0,1,1,0,1,0,0,2,1,0,1,1,2,0,1,19,12,0,1,2,1,0,0,0,0,0,1,2,0,0,2,0,0,2,0,1,0,0,0,0,7,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,35,16,2,1,0,0,1,0,1,0,0,3,3,1,0,2,0,0,0,1,0,1,0,0,0,19,0,1,1,1,1,1,0,1,0,1,2,2,1,1,0,1,0,0,1,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
uSF1,TX,000,36,627660,3949,2026,181,160,196,123,82,48,43,107,180,164,174,158,103,77,53,8,32,18,29,34,33,18,5,1923,179,192,181,110,70,42,23,93,138,117,155,118,110,81,57,21,36,21,29,64,41,23,22,56,31,3,2,4,4,0,2,1,1,1,3,1,0,4,1,0,2,0,0,1,0,1,0,0,25,4,2,2,2,0,0,2,0,1,3,0,2,2,1,2,0,0,0,2,0,0,0,0,51,31,1,4,4,1,0,1,2,2,2,2,2,5,2,1,1,0,0,0,0,1,0,0,0,20,2,1,2,0,2,0,0,2,1,1,1,1,2,1,0,1,0,1,1,1,0,0,0,20,7,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,13,0,0,3,1,0,1,0,1,0,1,1,2,0,1,0,0,1,1,0,0,0,0,0,10,6,0,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627667,1601,880,71,64,55,40,35,17,17,54,95,98,85,52,40,33,26,10,11,15,9,19,18,9,7,721,58,78,42,36,20,16,17,36,53,58,42,35,42,30,32,6,24,9,14,27,22,13,11,17,15,2,1,0,0,0,0,1,1,2,2,2,0,0,2,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11,9,0,0,1,0,1,0,0,1,2,0,0,1,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,17,2,1,0,2,2,1,1,2,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,6,1,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627671,786,427,37,40,36,20,15,9,10,22,23,39,43,26,28,16,19,4,5,1,13,12,4,2,3,359,18,35,26,15,7,8,6,18,26,33,32,21,22,14,17,3,3,5,7,16,14,5,8,338,148,39,21,14,4,4,5,0,2,4,3,8,6,11,11,7,1,1,1,3,3,0,0,0,190,35,19,8,4,17,7,6,20,17,10,5,10,11,6,1,1,3,0,2,3,3,2,0,20,10,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,10,1,0,2,1,0,0,1,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,25,12,0,1,0,1,0,1,1,2,1,0,0,0,1,2,1,0,0,0,0,1,0,0,0,13,0,2,2,1,0,0,0,1,0,1,1,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627674,177,88,6,6,5,6,4,2,2,13,4,2,4,10,10,4,4,2,0,1,1,0,1,1,0,89,10,7,3,6,2,0,2,6,5,6,5,9,9,6,5,1,1,1,3,0,0,1,1,245,121,4,3,9,6,3,0,1,5,7,6,7,14,9,9,10,3,4,1,4,8,6,1,1,124,3,6,8,5,3,0,0,2,3,9,4,10,13,10,4,0,4,1,3,10,15,8,3,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627677,1193,612,55,37,49,22,15,5,4,18,26,56,56,45,62,34,32,13,7,7,11,25,17,13,3,581,36,54,45,22,6,7,6,22,36,59,39,31,34,27,36,15,13,8,9,27,19,16,14,74,37,4,4,6,1,1,1,0,0,1,4,3,4,2,1,0,0,1,1,0,0,2,1,0,37,1,1,3,3,3,1,2,0,3,0,5,3,3,1,0,1,0,1,1,2,1,0,2,13,7,0,1,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,46,25,1,1,6,1,0,0,2,0,1,3,1,1,2,2,2,0,1,0,1,0,0,0,0,21,2,3,1,0,0,0,1,0,2,1,1,4,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627680,2536,1289,112,98,90,52,34,17,25,64,127,109,97,108,79,75,50,13,26,15,20,26,22,14,16,1247,107,96,90,42,28,6,14,52,112,101,85,74,83,68,50,18,33,12,21,49,42,38,26,333,157,9,6,11,4,3,2,3,2,9,11,15,14,11,7,7,0,3,4,4,15,5,6,6,176,8,5,13,12,6,2,1,3,4,5,12,10,20,11,7,3,3,3,5,11,13,10,9,47,24,2,2,3,1,0,0,0,0,2,3,3,2,1,2,0,0,0,0,2,0,0,1,0,23,2,5,2,1,0,0,0,0,2,3,0,3,1,0,0,0,0,0,4,0,0,0,0,123,60,4,4,6,6,2,1,1,0,6,5,7,3,4,6,1,0,0,0,2,1,0,1,0,63,6,4,6,8,2,2,1,3,5,5,4,2,4,4,1,0,2,2,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627687,2999,1391,85,92,92,47,22,10,18,24,72,96,116,125,122,112,69,24,30,31,29,52,56,46,21,1608,65,103,84,44,27,9,12,26,82,109,100,146,116,103,80,29,47,21,43,98,129,72,63,1191,530,56,68,71,31,14,8,11,17,39,49,49,29,28,27,13,6,1,1,3,4,2,2,1,661,52,77,66,36,25,11,5,16,53,47,67,48,49,35,15,2,4,5,10,8,13,9,8,25,11,0,1,0,1,0,0,1,0,1,0,2,0,2,0,0,0,0,1,1,1,0,0,0,14,1,1,0,1,0,1,0,0,0,1,2,3,1,1,2,0,0,0,0,0,0,0,0,60,31,4,4,2,3,0,1,0,0,2,0,8,1,3,0,2,1,0,0,0,0,0,0,0,29,1,2,2,2,0,0,0,1,4,3,2,0,5,3,2,0,0,0,0,1,0,0,1,5,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627692,1264,622,39,31,32,21,13,12,6,21,50,62,56,65,51,29,34,9,14,9,9,22,15,15,7,642,48,39,39,16,7,9,7,26,47,42,54,50,51,35,35,13,15,18,11,29,25,12,14,1236,561,57,56,55,31,19,8,3,15,38,36,39,34,33,23,27,7,11,8,17,17,19,5,3,675,58,59,53,26,23,6,7,23,45,39,41,50,37,46,19,13,18,15,26,38,19,9,5,15,7,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,1,0,0,2,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,76,34,1,4,6,1,0,0,0,3,5,2,2,1,2,3,4,0,0,0,0,0,0,0,0,42,7,5,5,3,1,0,1,1,7,1,3,0,2,5,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
