FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,PCT012F001,PCT012F002,PCT012F003,PCT012F004,PCT012F005,PCT012F006,PCT012F007,PCT012F008,PCT012F009,PCT012F010,PCT012F011,PCT012F012,PCT012F013,PCT012F014,PCT012F015,PCT012F016,PCT012F017,PCT012F018,PCT012F019,PCT012F020,PCT012F021,PCT012F022,PCT012F023,PCT012F024,PCT012F025,PCT012F026,PCT012F027,PCT012F028,PCT012F029,PCT012F030,PCT012F031,PCT012F032,PCT012F033,PCT012F034,PCT012F035,PCT012F036,PCT012F037,PCT012F038,PCT012F039,PCT012F040,PCT012F041,PCT012F042,PCT012F043,PCT012F044,PCT012F045,PCT012F046,PCT012F047,PCT012F048,PCT012F049,PCT012F050,PCT012F051,PCT012F052,PCT012F053,PCT012F054,PCT012F055,PCT012F056,PCT012F057,PCT012F058,PCT012F059,PCT012F060,PCT012F061,PCT012F062,PCT012F063,PCT012F064,PCT012F065,PCT012F066,PCT012F067,PCT012F068,PCT012F069,PCT012F070,PCT012F071,PCT012F072,PCT012F073,PCT012F074,PCT012F075,PCT012F076,PCT012F077,PCT012F078,PCT012F079,PCT012F080,PCT012F081,PCT012F082,PCT012F083,PCT012F084,PCT012F085,PCT012F086,PCT012F087,PCT012F088,PCT012F089,PCT012F090,PCT012F091,PCT012F092,PCT012F093,PCT012F094,PCT012F095,PCT012F096,PCT012F097,PCT012F098,PCT012F099,PCT012F100,PCT012F101,PCT012F102,PCT012F103,PCT012F104,PCT012F105,PCT012F106,PCT012F107,PCT012F108,PCT012F109,PCT012F110,PCT012F111,PCT012F112,PCT012F113,PCT012F114,PCT012F115,PCT012F116,PCT012F117,PCT012F118,PCT012F119,PCT012F120,PCT012F121,PCT012F122,PCT012F123,PCT012F124,PCT012F125,PCT012F126,PCT012F127,PCT012F128,PCT012F129,PCT012F130,PCT012F131,PCT012F132,PCT012F133,PCT012F134,PCT012F135,PCT012F136,PCT012F137,PCT012F138,PCT012F139,PCT012F140,PCT012F141,PCT012F142,PCT012F143,PCT012F144,PCT012F145,PCT012F146,PCT012F147,PCT012F148,PCT012F149,PCT012F150,PCT012F151,PCT012F152,PCT012F153,PCT012F154,PCT012F155,PCT012F156,PCT012F157,PCT012F158,PCT012F159,PCT012F160,PCT012F161,PCT012F162,PCT012F163,PCT012F164,PCT012F165,PCT012F166,PCT012F167,PCT012F168,PCT012F169,PCT012F170,PCT012F171,PCT012F172,PCT012F173,PCT012F174,PCT012F175,PCT012F176,PCT012F177,PCT012F178,PCT012F179,PCT012F180,PCT012F181,PCT012F182,PCT012F183,PCT012F184,PCT012F185,PCT012F186,PCT012F187,PCT012F188,PCT012F189,PCT012F190,PCT012F191,PCT012F192,PCT012F193,PCT012F194,PCT012F195,PCT012F196,PCT012F197,PCT012F198,PCT012F199,PCT012F200,PCT012F201,PCT012F202,PCT012F203,PCT012F204,PCT012F205,PCT012F206,PCT012F207,PCT012F208,PCT012F209
uSF1,TX,000,36,602162,131393,70080,1740,1662,1574,1531,1543,1446,1463,1351,1358,1288,1253,1237,1183,1201,1127,1165,1264,1391,1477,1551,1662,1668,1759,1751,1726,1830,1612,1622,1675,1556,1577,1373,1398,1328,1417,1352,1285,1235,1186,1080,1071,825,911,793,747,678,651,587,501,491,480,407,365,370,311,300,260,251,202,185,180,148,156,143,115,107,88,70,85,76,68,72,60,57,61,54,38,31,26,29,28,15,17,8,9,9,8,7,8,5,3,3,4,2,1,3,1,1,1,0,0,0,0,61313,1689,1607,1448,1420,1408,1396,1406,1314,1323,1293,1304,1291,1168,1203,1129,1189,1124,1193,1182,1219,1313,1340,1333,1372,1334,1358,1386,1311,1306,1274,1268,1234,1139,1122,1138,1072,995,929,830,880,844,740,693,655,629,598,546,494,473,418,416,354,386,326,313,257,252,239,179,185,171,168,146,130,131,135,91,100,101,98,97,76,61,76,60,52,45,45,53,45,44,36,21,17,13,9,10,4,9,10,5,3,6,5,1,0,1,0,1,0,0,0,0
uSF1,TX,000,36,602163,34635,18716,491,460,422,397,395,405,401,326,336,346,284,306,269,274,226,257,299,358,357,442,481,477,545,574,495,577,469,482,496,462,460,425,428,398,389,395,357,357,304,287,272,187,218,206,201,132,186,135,117,123,104,99,99,78,50,72,59,47,41,44,31,36,28,30,24,28,20,11,14,15,7,9,11,11,8,9,9,5,6,7,2,3,3,1,1,1,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,15919,484,439,402,380,369,403,378,339,355,337,333,305,278,261,263,274,245,275,320,336,354,393,376,367,397,403,425,390,409,367,382,357,329,305,302,273,260,273,222,217,196,193,182,142,127,123,121,102,99,101,94,79,71,73,71,50,46,45,34,44,36,32,30,23,29,19,12,22,23,11,13,8,9,10,9,7,4,7,6,5,8,5,4,4,3,0,2,0,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,607260,80145,42515,1049,1010,947,960,983,886,877,865,866,792,808,782,759,785,774,748,813,870,927,918,988,991,1008,965,982,998,944,904,946,864,887,768,778,746,850,774,740,715,710,646,655,509,565,483,468,447,385,373,314,311,322,251,229,252,230,190,177,174,144,120,131,94,113,100,85,68,55,51,62,54,57,57,45,36,50,42,27,24,17,22,24,11,11,7,8,7,5,5,5,4,2,3,3,2,0,3,1,1,1,0,0,0,0,37630,1023,989,895,882,861,827,870,822,796,814,814,851,750,795,718,796,741,782,741,747,797,796,784,807,779,775,778,755,744,716,705,708,652,673,667,621,563,542,472,531,514,417,413,414,413,392,341,317,305,264,262,231,266,214,216,174,176,164,123,123,118,111,107,91,86,100,69,71,67,75,76,58,45,62,46,40,35,33,41,40,33,26,16,12,9,9,4,3,5,8,3,2,4,4,1,0,1,0,1,0,0,0,0
uSF1,TX,000,36,621345,16613,8849,200,192,205,174,165,155,185,160,156,150,161,149,155,142,127,160,152,163,193,191,193,200,206,212,249,255,199,236,233,230,230,180,192,184,178,183,188,163,172,147,144,129,128,104,78,99,80,79,70,57,54,57,37,40,31,38,24,30,17,21,18,18,15,13,6,11,13,8,9,7,4,6,4,10,3,3,2,2,3,0,2,1,3,0,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7764,182,179,151,158,178,166,158,153,172,142,157,135,140,147,148,119,138,136,121,136,162,151,173,198,158,180,183,166,153,191,181,169,158,144,169,178,172,114,136,132,134,130,98,99,89,83,84,75,69,53,60,44,49,39,26,33,30,30,22,18,17,25,9,16,16,16,10,7,11,12,8,10,7,4,5,5,6,5,6,0,3,5,1,1,1,0,4,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627593,1221,684,17,14,10,14,14,12,14,18,16,8,9,9,14,7,10,8,11,10,20,8,16,14,22,18,18,13,22,22,15,13,14,11,20,11,17,16,14,12,23,8,13,8,15,8,6,12,4,3,5,5,4,5,3,1,4,2,2,5,2,1,2,1,3,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,9,16,11,9,13,14,15,16,10,14,11,11,8,14,15,15,6,12,11,9,8,9,13,8,10,10,12,14,7,12,12,14,12,9,4,13,4,8,7,12,3,9,6,8,2,4,6,4,5,7,2,2,6,4,3,0,4,1,4,4,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,2,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627600,1508,840,28,20,23,28,10,17,14,18,17,14,12,14,8,11,12,19,18,18,22,19,22,28,22,20,30,25,20,26,21,22,15,15,8,19,16,13,9,15,12,13,8,9,7,4,8,13,6,7,4,4,8,4,4,8,4,2,2,5,3,0,1,2,2,0,2,1,2,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,20,18,15,17,22,18,11,13,20,12,11,8,12,17,11,17,8,24,12,13,15,16,17,17,10,15,20,20,15,11,15,13,12,13,12,7,7,15,8,8,11,3,4,7,12,3,6,6,8,3,3,4,0,4,3,1,2,3,2,1,0,2,2,2,1,1,1,1,0,2,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627607,1361,721,14,17,21,13,11,12,20,17,17,7,19,23,13,17,17,9,14,17,16,17,17,22,14,11,16,13,13,5,14,11,14,9,21,12,9,17,15,14,16,10,14,8,10,8,10,5,10,10,3,2,3,3,4,7,3,2,0,4,1,0,2,1,3,3,5,0,2,0,2,2,2,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,640,15,15,16,12,18,16,20,19,14,14,20,17,21,14,7,21,17,14,11,14,8,9,12,14,10,12,16,11,8,10,13,10,15,5,10,9,10,8,10,8,7,10,5,8,8,4,3,1,10,4,7,1,10,2,3,1,2,2,1,2,4,3,1,2,2,1,0,0,2,0,1,0,0,2,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627612,2145,1193,25,26,31,19,26,25,30,22,22,18,13,18,19,23,24,21,24,25,31,35,33,35,37,17,33,17,24,24,14,16,28,18,13,24,25,18,21,22,14,19,10,18,19,15,10,9,13,10,14,7,11,6,5,15,8,8,8,6,4,6,6,2,6,5,4,3,0,1,5,2,2,1,5,2,3,3,1,1,2,0,2,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952,25,23,19,15,19,16,21,22,13,14,14,19,22,19,19,24,21,28,25,22,23,24,16,22,16,20,14,18,20,19,12,9,15,16,14,11,8,14,13,11,13,6,15,10,7,9,10,12,9,7,13,12,9,11,8,8,11,1,2,3,5,4,3,3,4,2,3,1,4,2,3,3,0,3,1,4,4,1,2,2,2,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627618,1868,1037,20,25,18,25,9,20,16,16,19,19,20,17,20,18,23,22,21,23,19,17,31,29,26,23,27,22,30,17,26,18,35,19,16,17,15,18,20,16,13,13,23,12,8,15,11,18,7,9,7,9,6,7,8,4,9,8,7,6,6,5,1,7,4,5,0,1,1,1,2,0,2,2,1,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831,29,25,20,23,13,24,17,17,20,19,13,19,16,21,17,23,19,19,22,22,11,18,12,16,16,18,17,15,9,16,20,14,10,11,12,12,13,15,10,10,6,11,7,4,9,2,10,7,7,5,6,5,8,4,12,5,2,3,1,1,5,3,4,0,2,2,2,1,2,2,1,2,1,2,0,1,0,2,4,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627624,3987,2101,53,53,35,34,41,41,27,37,44,38,38,40,40,34,44,45,50,49,45,39,51,46,41,38,50,50,39,41,37,39,49,31,37,28,62,42,36,30,41,29,32,30,32,27,24,12,26,20,18,16,23,10,20,19,17,10,6,10,10,6,8,2,6,10,7,8,2,4,5,1,2,5,4,2,4,3,4,0,1,4,0,0,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1886,45,47,49,29,32,29,46,42,35,44,39,45,33,44,46,48,47,51,36,38,46,47,29,51,27,30,29,24,24,27,34,31,39,36,24,33,29,24,23,27,21,22,23,18,18,19,24,14,18,16,17,13,19,15,17,8,13,10,11,8,7,9,6,8,4,10,6,1,6,4,8,7,5,5,4,2,3,2,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627631,2745,1418,44,46,26,37,29,23,24,23,39,20,31,26,33,34,23,30,27,25,24,29,37,27,49,34,32,27,34,27,33,26,14,26,29,25,30,20,24,26,18,14,24,13,18,21,22,18,13,8,10,15,14,4,10,7,10,5,7,4,7,4,2,1,2,4,1,1,4,1,2,0,2,3,2,1,2,2,1,2,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1327,27,35,41,24,31,32,37,34,36,32,36,43,30,34,22,31,22,32,26,20,25,33,17,30,25,35,18,20,22,19,27,15,27,26,23,21,23,10,17,17,12,18,14,14,17,12,13,9,15,8,8,7,11,11,5,6,9,1,4,8,5,6,3,2,1,5,2,1,0,4,1,3,2,2,2,0,3,1,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627638,3284,1744,45,45,37,48,28,42,37,43,33,35,36,42,39,33,30,25,28,33,48,33,35,35,46,38,45,29,43,36,43,36,18,35,33,34,23,39,34,25,33,35,19,17,24,14,24,12,16,20,9,14,16,10,9,11,7,11,7,8,4,2,6,1,3,5,5,2,2,2,3,3,2,4,1,2,5,1,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1540,34,44,25,43,43,34,33,35,33,40,39,35,33,34,37,35,31,35,22,27,34,24,43,34,28,28,36,28,34,32,23,29,28,32,21,21,27,28,14,20,19,20,13,20,14,19,11,8,13,11,14,8,10,4,14,5,7,3,4,4,5,4,3,8,3,7,3,6,2,1,1,1,6,2,2,2,0,0,1,0,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627646,61,33,2,0,0,0,0,1,0,0,1,0,3,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,2,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,1,1,1,2,0,3,1,0,0,0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627650,111,51,0,2,1,1,0,1,2,0,1,0,3,3,4,0,3,0,0,2,3,0,0,1,3,2,1,0,2,0,1,0,2,2,2,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,2,0,3,3,3,0,3,0,1,0,2,1,0,0,2,1,3,4,1,1,1,2,1,0,3,0,0,2,0,2,0,2,1,0,1,1,1,1,2,1,2,0,0,1,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627654,774,381,7,11,10,14,10,14,8,7,10,5,10,5,9,6,7,3,11,4,8,6,6,8,7,9,6,7,6,11,11,12,10,6,6,3,12,4,2,6,7,2,11,4,3,7,6,1,2,3,2,7,2,2,2,2,1,0,1,1,0,3,2,2,2,2,1,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,11,13,7,12,9,10,7,9,7,6,13,6,7,6,11,8,11,9,5,5,9,4,7,10,9,9,11,6,7,7,5,10,5,4,12,4,7,11,2,2,7,5,5,4,3,8,3,4,5,1,1,2,5,1,2,1,0,2,1,3,1,1,1,1,1,3,2,2,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627660,2223,1141,28,18,31,31,17,26,22,16,13,14,25,15,21,30,22,24,25,23,23,33,24,27,20,26,23,21,19,26,16,26,23,19,14,13,18,22,22,14,17,19,15,19,9,12,22,12,10,14,9,13,7,10,4,11,8,6,10,10,6,4,7,6,6,5,1,3,4,1,5,4,3,2,2,1,4,2,2,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1082,25,24,28,23,20,23,18,21,27,25,17,17,22,26,15,23,25,25,28,20,28,23,15,13,22,22,21,19,15,18,19,20,7,22,14,12,12,16,15,8,16,11,15,15,12,9,17,13,11,13,8,9,12,4,13,5,9,6,7,5,9,3,9,7,3,3,5,2,4,4,3,6,3,2,0,3,1,3,0,2,1,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627667,770,425,8,2,4,8,5,3,5,14,7,2,8,6,13,5,7,7,10,12,9,16,13,5,12,7,10,9,5,5,10,9,1,7,8,7,7,7,11,5,10,7,6,7,5,11,3,12,3,3,2,6,6,4,1,2,3,4,2,3,2,0,2,3,1,1,2,0,1,0,2,1,3,1,1,1,1,2,1,2,2,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,345,5,8,7,4,3,7,7,6,3,7,4,8,6,8,6,11,9,7,10,7,3,5,5,4,4,5,4,4,8,5,6,7,3,5,4,3,2,3,4,5,7,2,4,7,2,6,6,3,4,4,4,3,2,2,3,2,2,2,3,3,2,2,3,1,0,3,2,5,3,1,2,3,1,2,4,2,0,2,1,3,4,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
uSF1,TX,000,36,627671,374,185,3,7,3,3,4,4,4,5,2,5,3,2,1,5,1,3,7,4,4,7,2,2,2,2,1,4,5,1,5,3,4,1,0,3,6,1,3,6,2,3,3,6,3,4,2,4,1,4,1,1,0,1,2,1,1,1,1,1,0,2,0,1,1,0,0,0,0,1,1,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,189,5,6,3,1,3,2,3,3,6,3,2,2,2,6,5,3,1,3,9,2,6,4,5,3,5,2,2,3,3,0,0,3,1,4,6,2,1,6,1,3,2,4,5,1,3,1,3,2,3,0,1,0,1,3,0,0,5,1,1,1,2,0,0,1,2,0,2,2,0,1,1,0,1,2,1,0,0,0,0,2,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627674,91,49,0,1,2,2,1,2,0,2,2,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,4,0,2,0,0,1,0,0,1,0,3,0,1,2,2,0,2,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1,2,0,0,1,1,2,2,0,1,1,2,1,0,2,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,2,0,1,1,1,2,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627677,165,91,4,4,3,3,1,2,6,1,3,0,1,2,2,1,2,2,3,0,0,1,0,2,3,1,2,3,4,1,1,0,3,2,0,2,1,2,0,1,1,2,0,1,1,1,1,3,1,2,0,1,0,0,1,2,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,4,2,1,0,4,1,2,3,0,1,5,2,3,0,0,1,1,0,1,1,1,4,1,4,0,2,1,1,1,0,1,3,2,0,0,0,0,1,3,0,1,2,2,1,0,1,2,1,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627680,1025,529,15,8,14,18,10,9,12,22,7,11,13,11,7,8,12,14,9,5,17,16,6,9,11,13,13,7,11,12,12,6,5,12,6,11,9,15,18,9,9,4,12,10,4,6,5,5,7,6,5,2,2,2,2,0,2,2,0,3,4,0,1,0,2,1,0,3,0,1,1,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,15,10,20,11,10,12,19,18,9,15,8,14,11,17,7,7,9,11,5,9,3,14,6,9,11,7,5,5,14,12,15,12,10,8,6,8,12,6,5,8,4,6,2,5,3,8,4,5,1,5,2,3,2,3,1,5,0,3,1,0,0,4,2,2,0,0,0,1,1,4,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627687,297,152,4,4,3,6,3,2,1,2,3,1,2,6,2,1,4,5,2,1,3,3,3,2,5,5,3,1,6,2,8,3,4,3,4,0,1,3,3,5,4,2,4,3,1,1,0,2,0,1,1,1,0,2,2,2,0,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,2,3,5,3,5,2,2,8,2,5,4,2,2,3,5,3,4,1,2,3,7,5,0,4,1,2,5,3,2,1,1,3,2,4,2,2,0,1,3,2,6,3,2,1,1,1,0,2,2,0,1,0,0,1,2,2,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627692,171,89,2,3,3,2,3,2,2,2,2,2,4,1,0,0,1,2,1,1,2,0,1,4,2,1,2,2,2,2,1,2,2,2,1,1,1,2,2,3,0,3,2,1,3,0,2,0,0,0,0,0,1,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,4,3,0,3,1,0,1,3,0,3,3,3,1,1,1,1,4,2,4,1,0,1,2,2,2,2,1,2,1,3,2,0,3,3,1,0,1,1,2,3,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627697,230,116,7,1,3,3,5,3,1,2,2,0,2,2,1,0,1,1,1,1,0,2,1,4,1,3,9,4,3,2,2,2,0,2,4,5,2,2,5,1,0,1,1,2,3,4,0,2,0,0,1,2,0,0,1,1,1,1,0,2,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,5,5,3,1,4,5,7,2,2,1,0,2,1,1,1,2,2,2,0,1,2,5,0,5,6,3,3,4,3,1,4,1,0,2,2,1,0,1,2,1,1,2,2,2,1,0,1,0,0,1,3,0,0,1,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627703,891,469,13,14,10,13,19,5,9,15,14,11,12,7,6,11,5,8,7,6,6,13,9,13,7,10,11,13,12,13,11,7,11,9,10,7,10,6,8,6,6,5,11,4,5,6,6,7,3,6,3,0,1,2,1,3,1,1,0,5,2,2,0,0,2,1,2,1,0,0,0,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,10,10,13,6,10,17,16,9,13,12,8,20,10,7,9,7,13,3,6,8,4,6,4,10,10,8,8,14,11,6,4,10,6,8,10,8,6,5,3,5,3,4,5,7,8,7,6,1,2,3,0,2,0,1,3,2,4,0,1,1,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627708,642,358,8,8,4,15,6,5,7,6,8,4,11,3,6,6,7,3,7,10,11,11,17,13,5,10,7,14,10,6,7,9,6,3,9,6,4,2,8,7,6,5,9,2,4,2,4,2,3,3,3,2,1,2,3,7,3,2,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,6,10,5,7,6,10,4,6,7,9,7,4,6,7,8,7,7,8,6,8,4,7,8,11,5,9,4,8,4,5,6,4,5,4,4,6,4,3,5,3,1,1,3,2,4,2,1,2,3,4,2,2,1,0,0,1,0,1,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627713,681,374,6,16,6,6,14,7,11,9,5,6,5,7,6,10,9,9,7,8,4,6,6,8,12,6,7,9,6,11,8,10,13,9,6,5,4,9,7,6,8,8,10,5,4,2,3,6,3,3,3,6,3,0,2,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,8,9,5,8,8,11,6,6,6,8,9,8,8,8,8,5,3,4,5,3,8,7,6,3,7,4,7,9,13,6,7,3,5,5,1,10,5,5,4,4,8,2,7,3,5,5,1,1,0,1,2,2,1,2,1,4,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627719,176,113,3,3,2,5,3,2,2,2,4,1,2,3,2,2,0,0,1,0,0,4,3,3,6,2,3,3,2,2,3,3,3,5,1,0,2,2,1,1,4,0,1,0,2,1,4,0,0,0,2,0,1,2,0,4,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,1,4,2,4,2,0,1,2,0,2,1,1,2,1,1,0,0,0,1,1,3,1,1,0,1,1,2,4,3,2,1,3,1,1,1,0,1,4,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
